08SB0123,NULL,08SB,NC300,NULL,NULL,07SMC43,1,12,1,NULL,10,inbreds,NULL,NULL,Source of resistance EB diversity panel,8
08SB0124,NULL,08SB,CML69,NULL,NULL,DC04-005,1,12,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0125,NULL,08SB,CML247,NULL,NULL,JK08-156.1,1,13,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0126,NULL,08SB,CML52,NULL,NULL,07FL502,1,13,1,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0201,NULL,08SB,P39,NULL,NULL,07FL430,NULL,1,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0202,NULL,08SB,IBM262,NULL,NULL,JP266#2,NULL,1,2,NULL,10,inbreds,NULL,sib/self,NULL,8
08SB0203,NULL,08SB,IBM54,NULL,NULL,JK06-M1-356,NULL,2,2,NULL,10,inbreds,NULL,sib/self,NULL,8
08SB0204,NULL,08SB,Mo17,NULL,NULL,07FL434,NULL,2,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0205,NULL,08SB,Il14H,NULL,NULL,07FL437,NULL,3,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0206,NULL,08SB,MS71,NULL,NULL,07FL438,NULL,3,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0207,NULL,08SB,B73,NULL,NULL,07FL441,NULL,4,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0208,NULL,08SB,B97,NULL,NULL,07FL442,NULL,4,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0209,NULL,08SB,P445-58-6-4-BBB,NULL,NULL,JK06-M1-46.3,NULL,5,2,NULL,10,inbreds,NULL,sib/self,NULL,8
08SB0210,NULL,08SB,M37W,NULL,NULL,07FL469,NULL,5,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0211,NULL,08SB,Mp717,NULL,NULL,W. Paul Williams,NULL,6,2,NULL,10,inbreds,NULL,NULL,resistant,8
08SB0212,NULL,08SB,NC358,NULL,NULL,07FL471,NULL,6,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0213,NULL,08SB,Oh7B,NULL,NULL,07FL472,NULL,7,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0214,NULL,08SB,Mp313E,NULL,NULL,NCRPIS PI539859,NULL,7,2,NULL,10,inbreds,NULL,NULL,Resistant Williams et al,8
08SB0215,NULL,08SB,Ky21,NULL,NULL,07FL477,NULL,8,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0216,NULL,08SB,CML103,NULL,NULL,07FL483,NULL,8,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0217,NULL,08SB,CML322,NULL,NULL,05FL432,NULL,9,2,NULL,10,inbreds,NULL,sib/self,NAM parent,8
08SB0218,NULL,08SB,Tx303,NULL,NULL,07FL495,NULL,9,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0219,NULL,08SB,Mp339,NULL,NULL,NCRPIS PI543916,NULL,10,2,NULL,10,inbreds,NULL,NULL,Susceptible check. EB diversity panel,8
08SB0220,NULL,08SB,Mp715,NULL,NULL,NCRPIS,NULL,10,2,NULL,10,inbreds,NULL,sib/self,resistant,8
08SB0221,NULL,08SB,Sc212m,NULL,NULL,NCRPIS,NULL,11,2,NULL,10,inbreds,NULL,sib/self,susceptible,8
08SB0222,NULL,08SB,NC408,NULL,NULL,NCRPIS,NULL,11,2,NULL,10,inbreds,NULL,sib/self,resistant,8
08SB0223,NULL,08SB,NC300,NULL,NULL,07SMC43,NULL,12,2,NULL,10,inbreds,NULL,NULL,Source of resistance EB diversity panel,8
08SB0224,NULL,08SB,CML69,NULL,NULL,DC04-005,NULL,12,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0225,NULL,08SB,CML247,NULL,NULL,JK08-156.1,NULL,13,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
08SB0226,NULL,08SB,CML52,NULL,NULL,07FL502,NULL,13,2,NULL,10,inbreds,NULL,NULL,NAM parent,8
