Plot ID,Experiment Name,Source Seed ID,Seed Name,Population,Pedigree,Field Name,Plot Name,Range,Row,Block,Rep,Kernel Num,Planting Date,Harvest Date,Plot Comments,,
16GB1075,16GB,SPM 08:82997,,,IBMRI MO041,CFAR600,IBMRI MO041,18,45,5,1,20,5/20/16,,Goss' wilt,,
16GB1076,16GB,SPM 08:82323,,,IBMRI MO241,CFAR600,IBMRI MO241,18,46,6,1,20,5/20/16,,Goss' wilt,,
16GB1077,16GB,SPM 08:80648,,,IBMRI MO229,CFAR600,IBMRI MO229,18,47,6,1,20,5/20/16,,Goss' wilt,,
16GB1078,16GB,SPM 08:82273,,,IBMRI MO266,CFAR600,IBMRI MO266,18,48,6,1,20,5/20/16,,Goss' wilt,,
16GB1079,16GB,SPM 08:82992,,,IBMRI MO121,CFAR600,IBMRI MO121,18,49,6,1,20,5/20/16,,Goss' wilt,,
16GB1080,16GB,SPM 08:80735,,,IBMRI MO051,CFAR600,IBMRI MO051,18,50,6,1,20,5/20/16,,Goss' wilt,,
16GB1081,16GB,SPM 08: 82265,,,IBMRI MO367,CFAR600,IBMRI MO367,18,51,6,1,20,5/20/16,,Goss' wilt,,
16GB1082,16GB,SPM 08:82285,,,IBMRI MO169,CFAR600,IBMRI MO169,18,52,6,1,20,5/20/16,,Goss' wilt,,
16GB1083,16GB,SPM 08:83037,,,IBMRI MO083,CFAR600,IBMRI MO083,18,53,6,1,20,5/20/16,,Goss' wilt,,
16GB1084,16GB,SPM 08:82327,,,IBMRI MO168,CFAR600,IBMRI MO168,18,54,6,1,20,5/20/16,,Goss' wilt,,
16GB1085,16GB,SPM 04:1884,,,IBMRI MO215,CFAR600,IBMRI MO215,18,55,6,1,20,5/20/16,,Goss' wilt,,
16GB1086,16GB,SPM 04: 4173-4,,,IBMRI MO269,CFAR600,IBMRI MO269,18,56,6,1,20,5/20/16,,Goss' wilt,,
16GB1087,16GB,SPM 08:80651,,,IBMRI MO341,CFAR600,IBMRI MO341,18,57,6,1,20,5/20/16,,Goss' wilt,,
16GB1088,16GB,011:1002-6,,,B73,CFAR600,B73,18,58,6,1,20,5/20/16,,Goss' wilt,,
16GB1089,16GB,SPM 08:82958,,,IBMRI MO283,CFAR600,IBMRI MO283,18,59,6,1,20,5/20/16,,Goss' wilt,,
16GB1090,16GB,SPM 08:80682,,,IBMRI MO005,CFAR600,IBMRI MO005,18,60,6,1,20,5/20/16,,Goss' wilt,,
16GB1091,16GB,SPM 05: 736,,,IBMRI MO310,CFAR600,IBMRI MO310,18,61,7,1,20,5/20/16,,Goss' wilt,,
16GB1092,16GB,SPM 08:82389,,,IBMRI MO048,CFAR600,IBMRI MO048,18,62,7,1,20,5/20/16,,Goss' wilt,,
16GB1093,16GB,SPM 08:80721,,,IBMRI MO090,CFAR600,IBMRI MO090,18,63,7,1,20,5/20/16,,Goss' wilt,,
16GB1094,16GB,SPM 04:1933  ,,,IBMRI MO050,CFAR600,IBMRI MO050,18,64,7,1,20,5/20/16,,Goss' wilt,,
16GB1095,16GB,SPM 08:83023,,,IBMRI MO182,CFAR600,IBMRI MO182,18,65,7,1,20,5/20/16,,Goss' wilt,,
16GB1096,16GB,SPM 08:82270,,,IBMRI MO097,CFAR600,IBMRI MO097,18,66,7,1,20,5/20/16,,Goss' wilt,,
16GB1097,16GB,SPM 09: 91508-SEXF,,,IBMRI MO373,CFAR600,IBMRI MO373,18,67,7,1,20,5/20/16,,Goss' wilt,,
16GB1098,16GB,SPM 08:82991,,,IBMRI MO317,CFAR600,IBMRI MO317,18,68,7,1,20,5/20/16,,Goss' wilt,,
16GB1099,16GB,SPM 08:82353,,,IBMRI MO125,CFAR600,IBMRI MO125,18,69,7,1,20,5/20/16,,Goss' wilt,,
16GB1100,16GB,SPM 08:83285,,,IBMRI MO008 X IBMRI MO008,CFAR600,IBMRI MO008 X IBMRI MO008,18,70,7,1,20,5/20/16,,Goss' wilt,,
16GB1101,16GB,SPM 08:82373,,,IBMRI MO076,CFAR600,IBMRI MO076,18,71,7,1,20,5/20/16,,Goss' wilt,,
16GB1102,16GB,SPM 08:82349,,,IBMRI MO250,CFAR600,IBMRI MO250,18,72,7,1,20,5/20/16,,Goss' wilt,,
16GB1103,16GB,SPM 08:82294,,,IBMRI MO013,CFAR600,IBMRI MO013,18,73,7,1,20,5/20/16,,Goss' wilt,,
16GB1104,16GB,SPM 13:131390 X 131390,,,IBMRI MO278,CFAR600,IBMRI MO278,18,74,7,1,20,5/20/16,,Goss' wilt,,
16GB1176,16GB,SPM 08:82405,,,IBMRI MO111,CFAR600,IBMRI MO111,19,3,12,1,20,5/20/16,,Goss' wilt,,
16GB1175,16GB,SPM 08:82354,,,IBMRI MO199,CFAR600,IBMRI MO199,19,4,12,1,20,5/20/16,,Goss' wilt,,
16GB1174,16GB,SPM 04:1807,,,IBMRI MO179,CFAR600,IBMRI MO179,19,5,12,1,20,5/20/16,,Goss' wilt,,
16GB1173,16GB,SPM 08:82331,,,IBMRI MO060,CFAR600,IBMRI MO060,19,6,12,1,20,5/20/16,,Goss' wilt,,
16GB1172,16GB,SPM 08:82361,,,IBMRI MO228,CFAR600,IBMRI MO228,19,7,12,1,20,5/20/16,,Goss' wilt,,
16GB1171,16GB,SPM 08:82396,,,IBMRI MO187,CFAR600,IBMRI MO187,19,8,12,1,20,5/20/16,,Goss' wilt,,
16GB1170,16GB,SPM 08:80701,,,IBMRI MO054,CFAR600,IBMRI MO054,19,9,12,1,20,5/20/16,,Goss' wilt,,
16GB1169,16GB,SPM 08:80655,,,IBMRI MO277,CFAR600,IBMRI MO277,19,10,12,1,20,5/20/16,,Goss' wilt,,
16GB1168,16GB,SPM 08:82371,,,IBMRI MO019,CFAR600,IBMRI MO019,19,11,12,1,20,5/20/16,,Goss' wilt,,
16GB1167,16GB,SPM 08:82969,,,IBMRI MO270,CFAR600,IBMRI MO270,19,12,12,1,20,5/20/16,,Goss' wilt,,
16GB1166,16GB,SPM 08:82973,,,IBMRI MO132,CFAR600,IBMRI MO132,19,13,12,1,20,5/20/16,,Goss' wilt,,
16GB1165,16GB,SPM 08:82276,,,IBMRI MO297,CFAR600,IBMRI MO297,19,14,11,1,20,5/20/16,,Goss' wilt,,
16GB1164,16GB,SPM 08:83305,,,IBMRI MO010,CFAR600,IBMRI MO010,19,15,11,1,20,5/20/16,,Goss' wilt,,
16GB1163,16GB,SPM 08:82271,,,IBMRI MO096,CFAR600,IBMRI MO096,19,16,11,1,20,5/20/16,,Goss' wilt,,
16GB1162,16GB,SPM 08:80676,,,IBMRI MO223,CFAR600,IBMRI MO223,19,17,11,1,20,5/20/16,,Goss' wilt,,
16GB1161,16GB,SPM 08:82380,,,IBMRI MO046,CFAR600,IBMRI MO046,19,18,11,1,20,5/20/16,,Goss' wilt,,
16GB1160,16GB,SPM 04:1930,,,IBMRI MO131,CFAR600,IBMRI MO131,19,19,11,1,20,5/20/16,,Goss' wilt,,
16GB1159,16GB,SPM 08:82975,,,IBMRI MO313,CFAR600,IBMRI MO313,19,20,11,1,20,5/20/16,,Goss' wilt,,
16GB1158,16GB,SPM 09:91462,,,IBMRI MO213,CFAR600,IBMRI MO213,19,21,11,1,20,5/20/16,,Goss' wilt,,
16GB1157,16GB,SPM 08:82269,,,IBMRI MO248,CFAR600,IBMRI MO248,19,22,11,1,20,5/20/16,,Goss' wilt,,
16GB1156,16GB,SPM 08:83015,,,IBMRI MO115,CFAR600,IBMRI MO115,19,23,11,1,20,5/20/16,,Goss' wilt,,
16GB1155,16GB,SPM 08:83027,,,IBMRI MO188,CFAR600,IBMRI MO188,19,24,11,1,20,5/20/16,,Goss' wilt,,
16GB1154,16GB,SPM 08:82404,,,IBMRI MO150,CFAR600,IBMRI MO150,19,25,11,1,20,5/20/16,,Goss' wilt,,
16GB1153,16GB,SPM 08:82264,,,IBMRI MO219,CFAR600,IBMRI MO219,19,26,11,1,20,5/20/16,,Goss' wilt,,
16GB1152,16GB,SPM 08:80710,,,IBMRI MO222,CFAR600,IBMRI MO222,19,27,11,1,20,5/20/16,,Goss' wilt,,
16GB1151,16GB,SPM 08:82420,,,IBMRI MO275,CFAR600,IBMRI MO275,19,28,11,1,20,5/20/16,,Goss' wilt,,
16GB1150,16GB,SPM 04:1638,,,IBMRI MO375,CFAR600,IBMRI MO375,19,29,10,1,20,5/20/16,,Goss' wilt,,
16GB1149,16GB,SPM 08:82397,,,IBMRI MO307,CFAR600,IBMRI MO307,19,30,10,1,20,5/20/16,,Goss' wilt,,
16GB1148,16GB,SPM 08:82307,,,IBMRI MO167,CFAR600,IBMRI MO167,19,31,10,1,20,5/20/16,,Goss' wilt,,
16GB1147,16GB,SPM 04:1922,,,IBMRI MO091,CFAR600,IBMRI MO091,19,32,10,1,20,5/20/16,,Goss' wilt,,
16GB1146,16GB,SPM 08:82309,,,IBMRI MO345,CFAR600,IBMRI MO345,19,33,10,1,20,5/20/16,,Goss' wilt,,
16GB1145,16GB,011:1004x1003-bulk,,,Mo17xB73,CFAR600,Mo17xB73,19,34,10,1,20,5/20/16,,Goss' wilt,,
16GB1144,16GB,SPM 08:82293,,,IBMRI MO340,CFAR600,IBMRI MO340,19,35,10,1,20,5/20/16,,Goss' wilt,,
16GB1143,16GB,SPM 08:82298,,,IBMRI MO184,CFAR600,IBMRI MO184,19,36,10,1,20,5/20/16,,Goss' wilt,,
16GB1142,16GB,SPM 08:80656,,,IBMRI MO284,CFAR600,IBMRI MO284,19,37,10,1,20,5/20/16,,Goss' wilt,,
16GB1141,16GB,SPM 08:82314,,,IBMRI MO116,CFAR600,IBMRI MO116,19,38,10,1,20,5/20/16,,Goss' wilt,,
16GB1140,16GB,SPM 08:82321,,,IBMRI MO379,CFAR600,IBMRI MO379,19,39,10,1,20,5/20/16,,Goss' wilt,,
16GB1139,16GB,SPM 08:82292,,,IBMRI MO174,CFAR600,IBMRI MO174,19,40,10,1,20,5/20/16,,Goss' wilt,,
16GB1138,16GB,SPM 08:82383,,,IBMRI MO113,CFAR600,IBMRI MO113,19,41,10,1,20,5/20/16,,Goss' wilt,,
16GB1137,16GB,SPM 08:83336,,,IBMRI MO383 X IBMRI MO383,CFAR600,IBMRI MO383 X IBMRI MO383,19,42,10,1,20,5/20/16,,Goss' wilt,,
16GB1136,16GB,SPM 08:83012,,,IBMRI MO123,CFAR600,IBMRI MO123,19,43,10,1,20,5/20/16,,Goss' wilt,,
16GB1135,16GB,SPM 04: 1674,,,IBMRI MO252,CFAR600,IBMRI MO252,19,44,9,1,20,5/20/16,,Goss' wilt,,
16GB1134,16GB,SPM 04: 1658-02,,,IBMRI MO251,CFAR600,IBMRI MO251,19,45,9,1,20,5/20/16,,Goss' wilt,,
16GB1133,16GB,SPM 08:83307,,,IBMRI MO014 X IBMRI MO014,CFAR600,IBMRI MO014 X IBMRI MO014,19,46,9,1,20,5/20/16,,Goss' wilt,,
16GB1132,16GB,SPM 04:1801,,,IBMRI MO129,CFAR600,IBMRI MO129,19,47,9,1,20,5/20/16,,Goss' wilt,,
16GB1131,16GB,SPM 08: 82994,,,IBMRI MO360,CFAR600,IBMRI MO360,19,48,9,1,20,5/20/16,,Goss' wilt,,
16GB1130,16GB,SPM 08:80663,,,IBMRI MO288,CFAR600,IBMRI MO288,19,49,9,1,20,5/20/16,,Goss' wilt,,
16GB1129,16GB,SPM 08:82369,,,IBMRI MO287,CFAR600,IBMRI MO287,19,50,9,1,20,5/20/16,,Goss' wilt,,
16GB1128,16GB,011:1004x1003-bulk,,,Mo17xB73,CFAR600,Mo17xB73,19,51,9,1,20,5/20/16,,Goss' wilt,,
16GB1127,16GB,SPM 08:82302,,,IBMRI MO194,CFAR600,IBMRI MO194,19,52,9,1,20,5/20/16,,Goss' wilt,,
16GB1126,16GB,SPM 08:82370,,,IBMRI MO082,CFAR600,IBMRI MO082,19,53,9,1,20,5/20/16,,Goss' wilt,,
16GB1125,16GB,SPM 08:82416,,,IBMRI MO218,CFAR600,IBMRI MO218,19,54,9,1,20,5/20/16,,Goss' wilt,,
16GB1124,16GB,SPM 08:80678,,,IBMRI MO181,CFAR600,IBMRI MO181,19,55,9,1,20,5/20/16,,Goss' wilt,,
16GB1123,16GB,SPM 04: 1666-02,,,IBMRI MO254,CFAR600,IBMRI MO254,19,56,9,1,20,5/20/16,,Goss' wilt,,
16GB1122,16GB,SPM 08:82413,,,IBMRI MO159,CFAR600,IBMRI MO159,19,57,9,1,20,5/20/16,,Goss' wilt,,
16GB1121,16GB,SPM 08: 82433,,,IBMRI MO374,CFAR600,IBMRI MO374,19,58,9,1,20,5/20/16,,Goss' wilt,,
16GB1120,16GB,SPM 08:82394,,,IBMRI MO200,CFAR600,IBMRI MO200,19,59,8,1,20,5/20/16,,Goss' wilt,,
16GB1119,16GB,SPM 08:82262,,,IBMRI MO334,CFAR600,IBMRI MO334,19,60,8,1,20,5/20/16,,Goss' wilt,,
16GB1118,16GB,SPM 08:82388,,,IBMRI MO099,CFAR600,IBMRI MO099,19,61,8,1,20,5/20/16,,Goss' wilt,,
16GB1117,16GB,SPM 08:82315,,,IBMRI MO109,CFAR600,IBMRI MO109,19,62,8,1,20,5/20/16,,Goss' wilt,,
16GB1116,16GB,SPM 08:83024,,,IBMRI MO127,CFAR600,IBMRI MO127,19,63,8,1,20,5/20/16,,Goss' wilt,,
16GB1115,16GB,SPM 08:83299,,,IBMRI MO028 X IBMRI MO028,CFAR600,IBMRI MO028 X IBMRI MO028,19,64,8,1,20,5/20/16,,Goss' wilt,,
16GB1114,16GB,SPM 08:82363,,,IBMRI MO216,CFAR600,IBMRI MO216,19,65,8,1,20,5/20/16,,Goss' wilt,,
16GB1113,16GB,SPM 08: 82434,,,IBMRI MO381,CFAR600,IBMRI MO381,19,66,8,1,20,5/20/16,,Goss' wilt,,
16GB1112,16GB,SPM 08: 82432,,,IBMRI MO372,CFAR600,IBMRI MO372,19,67,8,1,20,5/20/16,,Goss' wilt,,
16GB1111,16GB,SPM 08:80659,,,IBMRI MO045,CFAR600,IBMRI MO045,19,68,8,1,20,5/20/16,,Goss' wilt,,
16GB1110,16GB,SPM 08:82376,,,IBMRI MO022,CFAR600,IBMRI MO022,19,69,8,1,20,5/20/16,,Goss' wilt,,
16GB1109,16GB,SPM 08:82391,,,IBMRI MO057,CFAR600,IBMRI MO057,19,70,8,1,20,5/20/16,,Goss' wilt,,
16GB1108,16GB,SPM 08: 82345,,,IBMRI MO349,CFAR600,IBMRI MO349,19,71,8,1,20,5/20/16,,Goss' wilt,,
16GB1107,16GB,SPM 05:752,,,IBMRI MO035,CFAR600,IBMRI MO035,19,72,8,1,20,5/20/16,,Goss' wilt,,
16GB1106,16GB,SPM 08:82415,,,IBMRI MO214,CFAR600,IBMRI MO214,19,73,8,1,20,5/20/16,,Goss' wilt,,
16GB1105,16GB,SPM 04:1708,,,IBMRI MO258,CFAR600,IBMRI MO258,19,74,7,1,20,5/20/16,,Goss' wilt,,
16GB1177,16GB,SPM 08:82328,,,IBMRI MO061,CFAR600,IBMRI MO061,20,3,12,1,20,5/20/16,,Goss' wilt,,
16GB1178,16GB,SPM 08:82406,,,IBMRI MO142,CFAR600,IBMRI MO142,20,4,12,1,20,5/20/16,,Goss' wilt,,
16GB1179,16GB,SPM 08:82337,,,IBMRI MO029,CFAR600,IBMRI MO029,20,5,12,1,20,5/20/16,,Goss' wilt,,
16GB1180,16GB,041:55(x)-bulk,,,Mo17,CFAR600,Mo17,20,6,12,1,20,5/20/16,,Goss' wilt,,
16GB1181,16GB,SMP 08:83587-SELFX,,,IBMRI MO190,CFAR600,IBMRI MO190,20,7,13,1,20,5/20/16,,Goss' wilt,,
16GB1182,16GB,SPM 08:83028,,,IBMRI MO088,CFAR600,IBMRI MO088,20,8,13,1,20,5/20/16,,Goss' wilt,,
16GB1183,16GB,SPM 08:83553-selfX,,,IBMRI MO027,CFAR600,IBMRI MO027,20,9,13,1,20,5/20/16,,Goss' wilt,,
16GB1184,16GB,SPM 08:80716,,,IBMRI MO162,CFAR600,IBMRI MO162,20,10,13,1,20,5/20/16,,Goss' wilt,,
16GB1185,16GB,SPM 08:82412,,,IBMRI MO110,CFAR600,IBMRI MO110,20,11,13,1,20,5/20/16,,Goss' wilt,,
16GB1186,16GB,SPM 08:82334,,,IBMRI MO138,CFAR600,IBMRI MO138,20,12,13,1,20,5/20/16,,Goss' wilt,,
16GB1187,16GB,SPM 05: 942,,,IBMRI MO380,CFAR600,IBMRI MO380,20,13,13,1,20,5/20/16,,Goss' wilt,,
16GB1188,16GB,SPM 08:82414,,,IBMRI MO201,CFAR600,IBMRI MO201,20,14,13,1,20,5/20/16,,Goss' wilt,,
16GB1189,16GB,SPM 08:83574-selfX,,,IBMRI MO007,CFAR600,IBMRI MO007,20,15,13,1,20,5/20/16,,Goss' wilt,,
