1,1,70,1,No Collection,No Collection,No Collection
45,207,72,1,NULL,Field Harvest,No comments
46,208,72,1,NULL,Field Harvest,No comments
47,209,72,1,NULL,Field Harvest,No comments
48,210,72,1,NULL,Field Harvest,No comments
49,211,72,1,NULL,Field Harvest,No comments
50,212,72,1,NULL,Field Harvest,No comments
51,213,72,1,NULL,Field Harvest,No comments
52,214,72,1,NULL,Field Harvest,No comments
53,215,72,1,NULL,Field Harvest,No comments
54,216,72,1,NULL,Field Harvest,No comments
55,217,72,1,NULL,Field Harvest,No comments
56,218,72,1,NULL,Field Harvest,No comments
57,219,72,1,NULL,Field Harvest,No comments
58,220,72,1,NULL,Field Harvest,No comments
59,221,72,1,NULL,Field Harvest,No comments
60,222,72,1,NULL,Field Harvest,No comments
61,223,72,1,NULL,Field Harvest,No comments
62,224,72,1,NULL,Field Harvest,No comments
63,225,72,1,NULL,Field Harvest,No comments
64,226,72,1,NULL,Field Harvest,No comments
65,227,72,1,NULL,Field Harvest,No comments
66,228,72,1,NULL,Field Harvest,No comments
67,229,72,1,NULL,Field Harvest,No comments
68,230,72,1,NULL,Field Harvest,No comments
69,231,72,1,NULL,Field Harvest,No comments
70,232,72,1,NULL,Field Harvest,No comments
71,233,72,1,NULL,Field Harvest,No comments
72,234,72,1,NULL,Field Harvest,No comments
73,235,72,1,NULL,Field Harvest,No comments
74,236,72,1,NULL,Field Harvest,No comments
75,237,72,1,NULL,Field Harvest,No comments
76,238,72,1,NULL,Field Harvest,No comments
77,239,72,1,NULL,Field Harvest,No comments
78,240,72,1,NULL,Field Harvest,No comments
79,241,72,1,NULL,Field Harvest,No comments
80,242,72,1,NULL,Field Harvest,No comments
81,243,72,1,NULL,Field Harvest,No comments
82,244,72,1,NULL,Field Harvest,No comments
83,245,72,1,NULL,Field Harvest,No comments
84,246,72,1,NULL,Field Harvest,No comments
85,247,72,1,NULL,Field Harvest,No comments
86,248,72,1,NULL,Field Harvest,No comments
87,249,72,1,NULL,Field Harvest,No comments
88,250,72,1,NULL,Field Harvest,No comments
89,251,72,1,NULL,Field Harvest,No comments
90,252,72,1,NULL,Field Harvest,No comments
91,253,72,1,NULL,Field Harvest,No comments
92,254,72,1,NULL,Field Harvest,No comments
93,255,72,1,NULL,Field Harvest,No comments
94,256,72,1,NULL,Field Harvest,No comments
95,257,72,1,NULL,Field Harvest,No comments
96,258,72,1,NULL,Field Harvest,No comments
97,259,72,1,NULL,Field Harvest,No comments
98,260,72,1,NULL,Field Harvest,No comments
99,261,72,1,NULL,Field Harvest,No comments
100,262,72,1,NULL,Field Harvest,No comments
101,263,72,1,NULL,Field Harvest,No comments
102,264,72,1,NULL,Field Harvest,No comments
103,265,72,1,NULL,Field Harvest,No comments
104,266,72,1,NULL,Field Harvest,No comments
105,267,72,1,NULL,Field Harvest,No comments
106,268,72,1,NULL,Field Harvest,No comments
107,269,72,1,NULL,Field Harvest,No comments
108,270,72,1,NULL,Field Harvest,No comments
109,271,72,1,NULL,Field Harvest,No comments
110,272,72,1,NULL,Field Harvest,No comments
111,273,72,1,NULL,Field Harvest,No comments
112,274,72,1,NULL,Field Harvest,No comments
113,275,72,1,NULL,Field Harvest,No comments
114,276,72,1,NULL,Field Harvest,No comments
115,277,72,1,NULL,Field Harvest,No comments
116,278,72,1,NULL,Field Harvest,No comments
117,279,72,1,NULL,Field Harvest,No comments
118,280,72,1,NULL,Field Harvest,No comments
119,281,72,1,NULL,Field Harvest,No comments
120,282,72,1,NULL,Field Harvest,No comments
121,283,72,1,NULL,Field Harvest,No comments
122,284,72,1,NULL,Field Harvest,No comments
123,285,72,1,NULL,Field Harvest,No comments
124,286,72,1,NULL,Field Harvest,No comments
125,287,72,1,NULL,Field Harvest,No comments
126,288,72,1,NULL,Field Harvest,No comments
127,289,72,1,NULL,Field Harvest,No comments
128,290,72,1,NULL,Field Harvest,No comments
129,291,72,1,NULL,Field Harvest,No comments
130,292,72,1,NULL,Field Harvest,No comments
131,293,72,1,NULL,Field Harvest,No comments
132,294,72,1,NULL,Field Harvest,No comments
133,295,72,1,NULL,Field Harvest,No comments
134,296,72,1,NULL,Field Harvest,No comments
135,297,72,1,NULL,Field Harvest,No comments
136,298,72,1,NULL,Field Harvest,No comments
137,299,72,1,NULL,Field Harvest,No comments
138,300,72,1,NULL,Field Harvest,No comments
139,301,72,1,NULL,Field Harvest,No comments
140,302,72,1,NULL,Field Harvest,No comments
141,303,72,1,NULL,Field Harvest,No comments
142,304,72,1,NULL,Field Harvest,No comments
143,305,72,1,NULL,Field Harvest,No comments
144,306,72,1,NULL,Field Harvest,No comments
145,307,72,1,NULL,Field Harvest,No comments
146,308,72,1,NULL,Field Harvest,No comments
147,309,72,1,NULL,Field Harvest,No comments
148,310,72,1,NULL,Field Harvest,No comments
149,311,72,1,NULL,Field Harvest,No comments
150,312,72,1,NULL,Field Harvest,No comments
151,313,72,1,NULL,Field Harvest,No comments
152,314,72,1,NULL,Field Harvest,No comments
153,315,72,1,NULL,Field Harvest,No comments
154,316,72,1,NULL,Field Harvest,No comments
155,317,72,1,NULL,Field Harvest,No comments
156,318,72,1,NULL,Field Harvest,No comments
157,319,72,1,NULL,Field Harvest,No comments
158,320,72,1,NULL,Field Harvest,No comments
159,321,72,1,NULL,Field Harvest,No comments
160,322,72,1,NULL,Field Harvest,No comments
161,323,72,1,NULL,Field Harvest,No comments
162,324,72,1,NULL,Field Harvest,No comments
163,325,72,1,NULL,Field Harvest,No comments
164,326,72,1,NULL,Field Harvest,No comments
165,327,72,1,NULL,Field Harvest,No comments
166,328,72,1,NULL,Field Harvest,No comments
167,329,72,1,NULL,Field Harvest,No comments
168,330,72,1,NULL,Field Harvest,No comments
169,331,72,1,NULL,Field Harvest,No comments
170,332,72,1,NULL,Field Harvest,No comments
171,333,72,1,NULL,Field Harvest,No comments
172,334,72,1,NULL,Field Harvest,No comments
173,335,72,1,NULL,Field Harvest,No comments
174,336,72,1,NULL,Field Harvest,No comments
175,337,72,1,NULL,Field Harvest,No comments
176,338,72,1,NULL,Field Harvest,No comments
177,339,72,1,NULL,Field Harvest,No comments
178,340,72,1,NULL,Field Harvest,No comments
179,341,72,1,NULL,Field Harvest,No comments
180,342,72,1,NULL,Field Harvest,No comments
181,343,72,1,NULL,Field Harvest,No comments
182,344,72,1,NULL,Field Harvest,No comments
183,345,72,1,NULL,Field Harvest,No comments
184,346,72,1,NULL,Field Harvest,No comments
185,347,72,1,NULL,Field Harvest,No comments
186,348,72,1,NULL,Field Harvest,No comments
187,349,72,1,NULL,Field Harvest,No comments
188,350,72,1,NULL,Field Harvest,No comments
189,351,72,1,NULL,Field Harvest,No comments
190,352,72,1,NULL,Field Harvest,No comments
191,353,72,1,NULL,Field Harvest,No comments
192,354,72,1,NULL,Field Harvest,No comments
193,355,72,1,NULL,Field Harvest,No comments
194,356,72,1,NULL,Field Harvest,No comments
195,357,72,1,NULL,Field Harvest,No comments
196,358,72,1,NULL,Field Harvest,No comments
197,359,72,1,NULL,Field Harvest,No comments
198,360,72,1,NULL,Field Harvest,No comments
199,361,72,1,NULL,Field Harvest,No comments
200,362,72,1,NULL,Field Harvest,No comments
201,363,72,1,NULL,Field Harvest,No comments
202,364,72,1,NULL,Field Harvest,No comments
203,365,72,1,NULL,Field Harvest,No comments
204,366,72,1,NULL,Field Harvest,No comments
205,367,72,1,NULL,Field Harvest,No comments
206,368,72,1,NULL,Field Harvest,No comments
207,369,72,1,NULL,Field Harvest,No comments
208,370,72,1,NULL,Field Harvest,No comments
209,371,72,1,NULL,Field Harvest,No comments
210,372,72,1,NULL,Field Harvest,No comments
211,373,72,1,NULL,Field Harvest,No comments
212,374,72,1,NULL,Field Harvest,No comments
213,375,72,1,NULL,Field Harvest,No comments
214,376,72,1,NULL,Field Harvest,No comments
215,377,72,1,NULL,Field Harvest,No comments
216,378,72,1,NULL,Field Harvest,No comments
217,379,72,1,NULL,Field Harvest,No comments
218,380,72,1,NULL,Field Harvest,No comments
219,381,72,1,NULL,Field Harvest,No comments
220,382,72,1,NULL,Field Harvest,No comments
221,383,72,1,NULL,Field Harvest,No comments
222,384,72,1,NULL,Field Harvest,No comments
223,389,3,1,NULL,Field Harvest,No comments
224,390,3,1,NULL,Field Harvest,No comments
225,391,3,1,NULL,Field Harvest,No comments
226,392,3,1,NULL,Field Harvest,No comments
227,393,3,1,NULL,Field Harvest,No comments
228,394,3,1,NULL,Field Harvest,No comments
229,395,3,1,NULL,Field Harvest,No comments
230,396,3,1,NULL,Field Harvest,No comments
231,397,3,1,NULL,Field Harvest,No comments
232,398,3,1,NULL,Field Harvest,No comments
233,399,3,1,NULL,Field Harvest,No comments
234,400,3,1,NULL,Field Harvest,No comments
235,401,3,1,NULL,Field Harvest,No comments
236,402,3,1,NULL,Field Harvest,No comments
237,403,3,1,NULL,Field Harvest,No comments
238,404,3,1,NULL,Field Harvest,No comments
239,405,3,1,NULL,Field Harvest,No comments
240,406,3,1,NULL,Field Harvest,No comments
241,407,3,1,NULL,Field Harvest,No comments
242,408,3,1,NULL,Field Harvest,No comments
243,409,3,1,NULL,Field Harvest,No comments
244,410,3,1,NULL,Field Harvest,No comments
245,411,3,1,NULL,Field Harvest,No comments
246,412,3,1,NULL,Field Harvest,No comments
247,413,3,1,NULL,Field Harvest,No comments
248,414,3,1,NULL,Field Harvest,No comments
249,415,3,1,NULL,Field Harvest,No comments
250,416,3,1,NULL,Field Harvest,No comments
251,417,3,1,NULL,Field Harvest,No comments
252,418,3,1,NULL,Field Harvest,No comments
253,419,3,1,NULL,Field Harvest,No comments
254,420,3,1,NULL,Field Harvest,No comments
255,421,3,1,NULL,Field Harvest,No comments
256,422,3,1,NULL,Field Harvest,No comments
257,423,3,1,NULL,Field Harvest,No comments
258,424,3,1,NULL,Field Harvest,No comments
259,535,12,1,NULL,Field Harvest,No comments
260,536,12,1,NULL,Field Harvest,No comments
261,537,12,1,NULL,Field Harvest,No comments
262,538,12,1,NULL,Field Harvest,No comments
263,539,12,1,NULL,Field Harvest,No comments
264,540,12,1,NULL,Field Harvest,No comments
265,541,12,1,NULL,Field Harvest,No comments
266,542,12,1,NULL,Field Harvest,No comments
267,543,12,1,NULL,Field Harvest,No comments
268,544,12,1,NULL,Field Harvest,No comments
269,545,12,1,NULL,Field Harvest,No comments
270,546,12,1,NULL,Field Harvest,No comments
271,547,12,1,NULL,Field Harvest,No comments
272,548,12,1,NULL,Field Harvest,No comments
273,549,12,1,NULL,Field Harvest,No comments
274,550,12,1,NULL,Field Harvest,No comments
275,551,12,1,NULL,Field Harvest,No comments
276,552,12,1,NULL,Field Harvest,No comments
277,553,12,1,NULL,Field Harvest,No comments
278,554,12,1,NULL,Field Harvest,No comments
279,555,12,1,NULL,Field Harvest,No comments
280,556,12,1,NULL,Field Harvest,No comments
281,557,12,1,NULL,Field Harvest,No comments
282,558,12,1,NULL,Field Harvest,No comments
283,559,12,1,NULL,Field Harvest,No comments
284,560,12,1,NULL,Field Harvest,No comments
285,561,12,1,NULL,Field Harvest,No comments
286,562,12,1,NULL,Field Harvest,No comments
287,563,12,1,NULL,Field Harvest,No comments
288,564,12,1,NULL,Field Harvest,No comments
289,565,12,1,NULL,Field Harvest,No comments
290,566,12,1,NULL,Field Harvest,No comments
291,567,12,1,NULL,Field Harvest,No comments
292,568,12,1,NULL,Field Harvest,No comments
293,569,12,1,NULL,Field Harvest,No comments
294,570,12,1,NULL,Field Harvest,No comments
295,571,12,1,NULL,Field Harvest,No comments
296,572,12,1,NULL,Field Harvest,No comments
297,573,12,1,NULL,Field Harvest,No comments
298,574,12,1,NULL,Field Harvest,No comments
299,575,12,1,NULL,Field Harvest,No comments
300,576,12,1,NULL,Field Harvest,No comments
301,577,12,1,NULL,Field Harvest,No comments
302,578,12,1,NULL,Field Harvest,No comments
303,579,12,1,NULL,Field Harvest,No comments
304,580,12,1,NULL,Field Harvest,No comments
305,581,12,1,NULL,Field Harvest,No comments
306,582,12,1,NULL,Field Harvest,No comments
307,583,12,1,NULL,Field Harvest,No comments
308,584,12,1,NULL,Field Harvest,No comments
309,587,72,1,NULL,Field Harvest,No comments
310,590,72,1,NULL,Field Harvest,No comments
311,593,72,1,NULL,Field Harvest,No comments
312,596,72,1,NULL,Field Harvest,No comments
313,599,72,1,NULL,Field Harvest,No comments
314,602,72,1,NULL,Field Harvest,No comments
315,605,72,1,NULL,Field Harvest,No comments
316,608,72,1,NULL,Field Harvest,No comments
317,611,72,1,NULL,Field Harvest,No comments
318,614,72,1,NULL,Field Harvest,No comments
319,617,72,1,NULL,Field Harvest,No comments
320,620,72,1,NULL,Field Harvest,No comments
321,623,72,1,NULL,Field Harvest,No comments
322,626,72,1,NULL,Field Harvest,No comments
323,629,72,1,NULL,Field Harvest,No comments
324,632,72,1,NULL,Field Harvest,No comments
325,635,72,1,NULL,Field Harvest,No comments
326,638,72,1,NULL,Field Harvest,No comments
327,641,72,1,NULL,Field Harvest,No comments
328,644,72,1,NULL,Field Harvest,No comments
329,647,72,1,NULL,Field Harvest,No comments
330,650,72,1,NULL,Field Harvest,No comments
331,653,72,1,NULL,Field Harvest,No comments
332,656,72,1,NULL,Field Harvest,No comments
333,659,72,1,NULL,Field Harvest,No comments
334,662,72,1,NULL,Field Harvest,No comments
335,665,72,1,NULL,Field Harvest,No comments
336,668,72,1,NULL,Field Harvest,No comments
337,671,72,1,NULL,Field Harvest,No comments
338,674,72,1,NULL,Field Harvest,No comments
339,677,72,1,NULL,Field Harvest,No comments
340,680,72,1,NULL,Field Harvest,No comments
341,683,72,1,NULL,Field Harvest,No comments
342,686,72,1,NULL,Field Harvest,No comments
343,689,72,1,NULL,Field Harvest,No comments
344,692,72,1,NULL,Field Harvest,No comments
345,695,72,1,NULL,Field Harvest,No comments
346,698,72,1,NULL,Field Harvest,No comments
347,701,72,1,NULL,Field Harvest,No comments
348,704,72,1,NULL,Field Harvest,No comments
349,707,72,1,NULL,Field Harvest,No comments
350,710,72,1,NULL,Field Harvest,No comments
351,711,72,1,NULL,Field Harvest,No comments
352,712,72,1,NULL,Field Harvest,No comments
353,713,3,1,NULL,Field Harvest,No comments
354,714,3,1,NULL,Field Harvest,No comments
355,715,72,1,NULL,Field Harvest,No comments
356,716,3,1,NULL,Field Harvest,No comments
357,717,3,1,NULL,Field Harvest,No comments
358,718,72,1,NULL,Field Harvest,No comments
359,719,3,1,NULL,Field Harvest,No comments
360,720,3,1,NULL,Field Harvest,No comments
361,721,72,1,NULL,Field Harvest,No comments
362,722,3,1,NULL,Field Harvest,No comments
363,723,3,1,NULL,Field Harvest,No comments
364,724,72,1,NULL,Field Harvest,No comments
365,725,3,1,NULL,Field Harvest,No comments
366,726,3,1,NULL,Field Harvest,No comments
367,727,72,1,NULL,Field Harvest,No comments
368,728,3,1,NULL,Field Harvest,No comments
369,729,3,1,NULL,Field Harvest,No comments
370,730,72,1,NULL,Field Harvest,No comments
371,731,3,1,NULL,Field Harvest,No comments
372,732,3,1,NULL,Field Harvest,No comments
373,733,72,1,NULL,Field Harvest,No comments
374,734,3,1,NULL,Field Harvest,No comments
375,735,3,1,NULL,Field Harvest,No comments
376,736,72,1,NULL,Field Harvest,No comments
377,739,72,1,NULL,Field Harvest,No comments
378,740,3,1,NULL,Field Harvest,No comments
379,741,3,1,NULL,Field Harvest,No comments
380,742,72,1,NULL,Field Harvest,No comments
381,743,3,1,NULL,Field Harvest,No comments
382,744,3,1,NULL,Field Harvest,No comments
383,745,72,1,NULL,Field Harvest,No comments
384,746,3,1,NULL,Field Harvest,No comments
385,747,72,1,NULL,Field Harvest,No comments
386,748,72,1,NULL,Field Harvest,No comments
387,749,3,1,NULL,Field Harvest,No comments
388,750,3,1,NULL,Field Harvest,No comments
389,751,72,1,NULL,Field Harvest,No comments
390,752,3,1,NULL,Field Harvest,No comments
391,753,3,1,NULL,Field Harvest,No comments
392,754,72,1,NULL,Field Harvest,No comments
393,755,3,1,NULL,Field Harvest,No comments
394,756,3,1,NULL,Field Harvest,No comments
395,757,72,1,NULL,Field Harvest,No comments
396,758,3,1,NULL,Field Harvest,No comments
397,759,3,1,NULL,Field Harvest,No comments
398,760,72,1,NULL,Field Harvest,No comments
399,761,3,1,NULL,Field Harvest,No comments
400,762,3,1,NULL,Field Harvest,No comments
401,763,72,1,NULL,Field Harvest,No comments
402,764,3,1,NULL,Field Harvest,No comments
403,766,72,1,NULL,Field Harvest,No comments
404,767,3,1,NULL,Field Harvest,No comments
405,768,3,1,NULL,Field Harvest,No comments
406,769,72,1,NULL,Field Harvest,No comments
407,770,3,1,NULL,Field Harvest,No comments
408,771,3,1,NULL,Field Harvest,No comments
409,772,72,1,NULL,Field Harvest,No comments
410,773,3,1,NULL,Field Harvest,No comments
411,774,3,1,NULL,Field Harvest,No comments
412,775,72,1,NULL,Field Harvest,No comments
413,776,3,1,NULL,Field Harvest,No comments
414,777,3,1,NULL,Field Harvest,No comments
415,778,72,1,NULL,Field Harvest,No comments
416,779,3,1,NULL,Field Harvest,No comments
417,780,3,1,NULL,Field Harvest,No comments
418,781,72,1,NULL,Field Harvest,No comments
419,782,3,1,NULL,Field Harvest,No comments
420,783,3,1,NULL,Field Harvest,No comments
421,784,72,1,NULL,Field Harvest,No comments
422,785,3,1,NULL,Field Harvest,No comments
423,786,3,1,NULL,Field Harvest,No comments
424,787,72,1,NULL,Field Harvest,No comments
425,788,3,1,NULL,Field Harvest,No comments
426,789,3,1,NULL,Field Harvest,No comments
427,790,72,1,NULL,Field Harvest,No comments
428,791,3,1,NULL,Field Harvest,No comments
429,792,3,1,NULL,Field Harvest,No comments
430,793,72,1,NULL,Field Harvest,No comments
431,794,3,1,NULL,Field Harvest,No comments
432,795,3,1,NULL,Field Harvest,No comments
433,796,72,1,NULL,Field Harvest,No comments
434,797,3,1,NULL,Field Harvest,No comments
435,798,3,1,NULL,Field Harvest,No comments
436,799,72,1,NULL,Field Harvest,No comments
437,800,3,1,NULL,Field Harvest,No comments
438,801,3,1,NULL,Field Harvest,No comments
439,802,72,1,NULL,Field Harvest,No comments
440,803,3,1,NULL,Field Harvest,No comments
441,804,3,1,NULL,Field Harvest,No comments
442,805,72,1,NULL,Field Harvest,No comments
443,806,3,1,NULL,Field Harvest,No comments
444,807,3,1,NULL,Field Harvest,No comments
445,808,72,1,NULL,Field Harvest,No comments
446,809,3,1,NULL,Field Harvest,No comments
447,810,3,1,NULL,Field Harvest,No comments
448,811,72,1,NULL,Field Harvest,No comments
449,812,3,1,NULL,Field Harvest,No comments
450,813,3,1,NULL,Field Harvest,No comments
451,814,72,1,NULL,Field Harvest,No comments
452,815,3,1,NULL,Field Harvest,No comments
453,816,3,1,NULL,Field Harvest,No comments
454,817,72,1,NULL,Field Harvest,No comments
455,818,3,1,NULL,Field Harvest,No comments
456,819,3,1,NULL,Field Harvest,No comments
457,820,72,1,NULL,Field Harvest,No comments
458,821,3,1,NULL,Field Harvest,No comments
459,822,3,1,NULL,Field Harvest,No comments
460,823,3,1,NULL,Field Harvest,No comments
461,824,3,1,NULL,Field Harvest,No comments
462,825,3,1,NULL,Field Harvest,No comments
463,826,3,1,NULL,Field Harvest,No comments
464,827,3,1,NULL,Field Harvest,No comments
465,828,3,1,NULL,Field Harvest,No comments
466,829,3,1,NULL,Field Harvest,No comments
467,830,3,1,NULL,Field Harvest,No comments
468,831,3,1,NULL,Field Harvest,No comments
469,832,3,1,NULL,Field Harvest,No comments
470,833,3,1,NULL,Field Harvest,No comments
471,834,3,1,NULL,Field Harvest,No comments
472,835,3,1,NULL,Field Harvest,No comments
473,836,3,1,NULL,Field Harvest,No comments
474,837,3,1,NULL,Field Harvest,No comments
475,838,3,1,NULL,Field Harvest,No comments
476,839,3,1,NULL,Field Harvest,No comments
477,840,3,1,NULL,Field Harvest,No comments
478,841,3,1,NULL,Field Harvest,No comments
479,842,3,1,NULL,Field Harvest,No comments
480,843,3,1,NULL,Field Harvest,No comments
481,844,3,1,NULL,Field Harvest,No comments
482,845,3,1,NULL,Field Harvest,No comments
483,846,3,1,NULL,Field Harvest,No comments
484,847,3,1,NULL,Field Harvest,No comments
485,848,3,1,NULL,Field Harvest,No comments
486,849,3,1,NULL,Field Harvest,No comments
487,850,3,1,NULL,Field Harvest,No comments
488,851,3,1,NULL,Field Harvest,No comments
489,852,3,1,NULL,Field Harvest,No comments
490,853,3,1,NULL,Field Harvest,No comments
491,854,3,1,NULL,Field Harvest,No comments
492,855,3,1,NULL,Field Harvest,No comments
493,856,3,1,NULL,Field Harvest,No comments
494,857,3,1,NULL,Field Harvest,No comments
495,858,3,1,NULL,Field Harvest,No comments
496,859,3,1,NULL,Field Harvest,No comments
497,860,3,1,NULL,Field Harvest,No comments
498,876,3,1,NULL,Field Harvest,No comments
499,877,3,1,NULL,Field Harvest,No comments
500,878,3,1,NULL,Field Harvest,No comments
501,879,3,1,NULL,Field Harvest,No comments
502,880,3,1,NULL,Field Harvest,No comments
503,881,3,1,NULL,Field Harvest,No comments
504,882,3,1,NULL,Field Harvest,No comments
505,883,3,1,NULL,Field Harvest,No comments
506,884,3,1,NULL,Field Harvest,No comments
507,885,3,1,NULL,Field Harvest,No comments
508,886,3,1,NULL,Field Harvest,No comments
509,887,3,1,NULL,Field Harvest,No comments
510,888,3,1,NULL,Field Harvest,No comments
511,889,3,1,NULL,Field Harvest,No comments
512,890,3,1,NULL,Field Harvest,No comments
513,891,3,1,NULL,Field Harvest,No comments
514,892,3,1,NULL,Field Harvest,No comments
515,893,3,1,NULL,Field Harvest,No comments
516,894,3,1,NULL,Field Harvest,No comments
517,895,3,1,NULL,Field Harvest,No comments
518,896,3,1,NULL,Field Harvest,No comments
519,897,3,1,NULL,Field Harvest,No comments
520,898,3,1,NULL,Field Harvest,No comments
521,899,3,1,NULL,Field Harvest,No comments
522,900,3,1,NULL,Field Harvest,No comments
523,901,3,1,NULL,Field Harvest,No comments
524,903,3,1,NULL,Field Harvest,No comments
525,904,3,1,NULL,Field Harvest,No comments
526,907,3,1,NULL,Field Harvest,No comments
527,908,3,1,NULL,Field Harvest,No comments
528,909,3,1,NULL,Field Harvest,No comments
529,910,3,1,NULL,Field Harvest,No comments
530,911,3,1,NULL,Field Harvest,No comments
531,914,3,1,NULL,Field Harvest,No comments
532,915,3,1,NULL,Field Harvest,No comments
533,918,3,1,NULL,Field Harvest,No comments
534,919,3,1,NULL,Field Harvest,No comments
535,920,3,1,NULL,Field Harvest,No comments
536,921,3,1,NULL,Field Harvest,No comments
537,1907,72,1,NULL,Field Harvest,No comments
538,1908,72,1,NULL,Field Harvest,No comments
539,1910,72,1,NULL,Field Harvest,No comments
540,1911,72,1,NULL,Field Harvest,No comments
541,1913,72,1,NULL,Field Harvest,No comments
542,1914,72,1,NULL,Field Harvest,No comments
543,1916,72,1,NULL,Field Harvest,No comments
544,1917,72,1,NULL,Field Harvest,No comments
545,1919,72,1,NULL,Field Harvest,No comments
546,1920,72,1,NULL,Field Harvest,No comments
547,1922,72,1,NULL,Field Harvest,No comments
548,1923,72,1,NULL,Field Harvest,No comments
549,1925,72,1,NULL,Field Harvest,No comments
550,1926,72,1,NULL,Field Harvest,No comments
551,1928,72,1,NULL,Field Harvest,No comments
552,1929,72,1,NULL,Field Harvest,No comments
553,1931,72,1,NULL,Field Harvest,No comments
554,1932,72,1,NULL,Field Harvest,No comments
555,1934,72,1,NULL,Field Harvest,No comments
556,1935,72,1,NULL,Field Harvest,No comments
557,1936,72,1,NULL,Field Harvest,No comments
558,1937,72,1,NULL,Field Harvest,No comments
559,1938,72,1,NULL,Field Harvest,No comments
560,1939,12,1,NULL,Field Harvest,No comments
561,5432,12,1,NULL,Field Harvest,No comments
562,5433,12,1,NULL,Field Harvest,No comments
563,5434,12,1,NULL,Field Harvest,No comments
564,5435,12,1,NULL,Field Harvest,No comments
565,5436,12,1,NULL,Field Harvest,No comments
566,5437,12,1,NULL,Field Harvest,No comments
567,5438,12,1,NULL,Field Harvest,No comments
568,5439,12,1,NULL,Field Harvest,No comments
569,5440,12,1,NULL,Field Harvest,No comments
570,5441,12,1,NULL,Field Harvest,No comments
571,5442,12,1,NULL,Field Harvest,No comments
572,5443,12,1,NULL,Field Harvest,No comments
573,5444,12,1,NULL,Field Harvest,No comments
574,5445,12,1,NULL,Field Harvest,No comments
575,5446,12,1,NULL,Field Harvest,No comments
576,5447,12,1,NULL,Field Harvest,No comments
577,5448,12,1,NULL,Field Harvest,No comments
578,5449,12,1,NULL,Field Harvest,No comments
579,5450,12,1,NULL,Field Harvest,No comments
580,5451,12,1,NULL,Field Harvest,No comments
581,5452,12,1,NULL,Field Harvest,No comments
582,5453,12,1,NULL,Field Harvest,No comments
583,5454,12,1,NULL,Field Harvest,No comments
584,5455,12,1,NULL,Field Harvest,No comments
585,5456,12,1,NULL,Field Harvest,No comments
586,5457,12,1,NULL,Field Harvest,No comments
587,5458,12,1,NULL,Field Harvest,No comments
588,5459,12,1,NULL,Field Harvest,No comments
589,5460,12,1,NULL,Field Harvest,No comments
590,5461,12,1,NULL,Field Harvest,No comments
591,5462,12,1,NULL,Field Harvest,No comments
592,5463,12,1,NULL,Field Harvest,No comments
593,5464,12,1,NULL,Field Harvest,No comments
594,5465,12,1,NULL,Field Harvest,No comments
595,5466,12,1,NULL,Field Harvest,No comments
596,5527,72,1,NULL,Field Harvest,No comments
597,5528,72,1,NULL,Field Harvest,No comments
598,5529,72,1,NULL,Field Harvest,No comments
599,5530,72,1,NULL,Field Harvest,No comments
600,5531,72,1,NULL,Field Harvest,No comments
601,5532,72,1,NULL,Field Harvest,No comments
602,5533,72,1,NULL,Field Harvest,No comments
603,5534,72,1,NULL,Field Harvest,No comments
604,5535,72,1,NULL,Field Harvest,No comments
