plot_id,trait,value,timestamp,person,location,number
13RPN00012,plants,2,6/10/2016 11:12,Laura Hedges,40.1125 ; -88.2268,1
13RPN00013,plants,3,6/10/2016 11:12,Laura Hedges,40.1125 ; -88.2268,1
13RPN00014,plants,4,6/10/2016 11:12,Laura Hedges,40.1125 ; -88.2268,1
13RPN00015,plants,1,6/10/2016 11:12,Laura Hedges,40.1125 ; -88.2268,1
13RPN00017,plants,1,6/10/2016 11:18,Laura Hedges,40.1030 ; -88.2239,1
13RPN00018,plants,1,6/10/2016 11:18,Laura Hedges,40.1030 ; -88.2239,1
13RPN00020,plants,1,6/10/2016 11:18,Laura Hedges,40.1030 ; -88.2239,1
13RPN00021,plants,1,6/10/2016 11:18,Laura Hedges,40.1030 ; -88.2239,1
13RPN00022,plants,11,6/10/2016 11:18,Laura Hedges,40.1030 ; -88.2239,1
13RPN00023,plants,11,6/10/2016 11:18,Laura Hedges,40.1030 ; -88.2239,1
13RPN00025,plants,1,6/10/2016 11:19,Laura Hedges,40.1030 ; -88.2239,1
13RPN00026,plants,1,6/10/2016 11:19,Laura Hedges,40.1030 ; -88.2239,1
13RPN00027,plants,1,6/10/2016 11:19,Laura Hedges,40.1030 ; -88.2239,1
13RPN00028,plants,6,6/10/2016 11:19,Laura Hedges,40.1030 ; -88.2239,1
13RPN00030,plants,2,6/10/2016 11:19,Laura Hedges,40.1030 ; -88.2239,1
13RPN00030,Stand Counts,0,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00031,Stand Counts,10,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00032,Stand Counts,11,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00033,Stand Counts,18,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00034,Stand Counts,44,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00035,Stand Counts,12,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00036,Stand Counts,14,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00037,Stand Counts,0,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00038,Stand Counts,12,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00039,Stand Counts,4,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00040,Stand Counts,0,6/10/2016 11:20,Laura Hedges,40.1030 ; -88.2239,1
13RPN00003,plants,-1,6/10/2016 11:23,Laura Hedges,40.1030 ; -88.2239,1
13RPN00004,plants,3,6/10/2016 11:23,Laura Hedges,40.1030 ; -88.2239,1
13RPN00005,plants,-1,6/10/2016 11:23,Laura Hedges,40.1030 ; -88.2239,1
13RPN00006,plants,-1,6/10/2016 11:23,Laura Hedges,40.1030 ; -88.2239,1
