name,location,date,tissue_collection,inoculations,inoculations_date1,inoculations_date2,inoculations_date3,pathogen,harvest_date,desc,notes,person
10GT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10JH,"Blacksburg, VA",5/15/2010,y,0,NULL,NULL,NULL,NULL,10/18/2010 0:00,2010 HIF GLS trial,NULL,unknown
10MA,"Mississippi State, MS",4/16/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,2010 Mississippi inbreds and NILs experiments,Locally experiment 38,unknown
10MB,"Mississippi State, MS",4/16/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,2010 Mississippi RILs of CML322xB73 pop,Locally experiment 34,unknown
10NC,"Clayton, NC",NULL,y,1,NULL,NULL,NULL,Cochliobolus heterosrophus race 0 (isolate 2-16Bm),NULL,2010 Jesse RS-RIL SLB trial,NULL,jesse_poland
10OA,"Aurora, NY",5/25/2010,y,1,7/9/2010 0:00,7/9/2010 0:00,NULL,Gg001,NULL,Oliver NLB,NULL,oliver_ott
10PB,"Blacksburg, VA",NULL,y,0,NULL,NULL,NULL,GLS natural,NULL,2010 Jesse RS-RIL GLS trial,NULL,jesse_poland
10PF,"Aurora, NY",5/17/2010,y,1,5/18/2010 0:00,6/28/2010 0:00,NULL,EtNY001,NULL,2010 Jesse RS-RIL NLB trial,NULL,jesse_poland
10PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10PS,"Aurora, NY",5/17/2010,y,1,7/16/2010 0:00,NULL,NULL,rust,NULL,2010 Jesse RS-RIL rust trial,NULL,jesse_poland
10SH,"Aurora, NY",5/25/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,Santiago HIFs,depending on genotyping will evaluate a few rows,santiago_mideros
10SN,"Aurora, NY",5/25/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,2010 NILs test,for in-vitro inoculation,unknown
10ST,"Aurora, NY",5/25/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,Tx303 3:1 segregation?,for in-vitro inoculation,unknown
10SX,"Aurora, NY",5/25/2010,y,1,NULL,NULL,NULL,NRRL 3357,NULL,Santiago Nursery,part of the NIL99 will use for in-vitro inoculation depending on genotype,santiago_mideros
10T,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TA,"Aurora, NY",5/25/2010,y,1,8/10/2010 0:00,NULL,NULL,EtNY001,NULL,Tiffany ASR,NULL,tiffany_jamann
10TA1,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TA2,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TF,"Aurora, NY",5/25/2010,y,0,NULL,NULL,NULL,EtNY001,NULL,Tiffany 1.02 Fine-mapping: fix recombinants,NULL,tiffany_jamann
10TH,"Aurora, NY",5/25/2010,y,1,7/9/2010 0:00,7/9/2010 0:00,NULL,EtNY001,NULL,Tiffany Fine mapping,NULL,tiffany_jamann
10TI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TN,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TN0,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TN1,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TN2,"Aurora, NY",5/25/2010,y,1,7/9/2010 0:00,7/9/2010 0:00,NULL,EtNY001,NULL,Tiffany 1.02 NLB fine mapping,NULL,tiffany_jamann
10TN6,"Aurora, NY",5/25/2010,y,1,6/28/2010 0:00,6/29/2010 0:00,NULL,EtNY001,NULL,Tiffany 1.06 NLB fine mapping,NULL,tiffany_jamann
10TR,"Aurora, NY",5/25/2010,y,1,7/1/2010 0:00,NULL,NULL,NULL,NULL,Tiffany 1.02 Fine-mapping: rust,rust spores collected in 2007,tiffany_jamann
10TR2,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TS,"Aurora, NY",5/25/2010,y,1,6/28/2010 0:00,NULL,NULL,PsNY003,NULL,Tiffany Stewart's wilt,NULL,tiffany_jamann
10TS2,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
10TS6,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
11AO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
11BN,"Blacksburg,VA",5/19/2011,n,NULL,NULL,NULL,NULL,NULL,NULL,NAM NIL Screen for GLS,NULL,unknown
11JH,"Blacksburg, VA",5/18/2011,y,NULL,NULL,NULL,NULL,NULL,10/22/2011 0:00,GLS Fine-mapping Screen/Pollinate,NULL,unknown
11JS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
11PB,"Blacksburg, VA",5/19/2011,n,NULL,NULL,NULL,NULL,NULL,NULL,RS Screen for GLS (Jesse's Pop),NULL,jesse_poland
11PBJT,"Blacksburg, VA",5/19/2011,y,NULL,NULL,NULL,NULL,NULL,NULL,JT Mutant Screen for GLS,NULL,unknown
11PF,"Aurora, NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
11PR,Puerto Rico Winter Nurser,11/18/2011,n,NULL,NULL,NULL,NULL,NULL,NULL,"Seed Increase, Fix lines, Increase Recomb Breakpoints",NULL,unknown
11TF,"Aurora, NY",5/31/2011,y,0,NULL,NULL,NULL,NULL,NULL,Tiffany Identify recombinants,NULL,tiffany_jamann
11TM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
11TN,"Aurora, NY",6/1/2011,y,1,7/8/2011 0:00,NULL,NULL,StNY001,NULL,Tiffany NLB Trials,NULL,tiffany_jamann
11TR,"Aurora, NY",6/1/2011,y,1,7/15/2011 0:00,NULL,NULL,rust-GH07,NULL,Tiffany Rust trials,NULL,tiffany_jamann
11TS,"Aurora, NY",6/1/2011,y,1,6/12/2011 0:00,NULL,NULL,PsNY003,NULL,Tiffany Stewart's wilt trials,NULL,tiffany_jamann
12CH,"Santa Rafaela, Graneros,",10/27/2012,NULL,NULL,NULL,NULL,NULL,NULL,3/21/2013 0:00,"Winter nursery, seed increase",www.tunicheseedservices.cl,unknown
12GEFR,"Clayton, NC",4/11/2012,y,2,7/7/2012 0:00,7/14/2012 0:00,NULL,Fusarium verticillioides,NULL,2012 Laura GEFR Fusarium experiment,NULL,laura_morales
12JH,"Blacksburg, VA",NULL,y,0,NULL,NULL,NULL,NULL,NULL,GLS Screen,NULL,unknown
12LF,"Aurora, NY",5/25/2012,y,2,8/16/2012 0:00,8/23/2012 0:00,NULL,Fusarium verticillioides,NULL,2012 Laura NAM founders Fusarium experiment,NULL,laura_morales
12LG,"Clayton, NC",4/11/2012,y,2,7/7/2012 0:00,7/14/2012 0:00,NULL,Fusarium verticillioides,NULL,2012 Laura GEFR Fusarium experiment,NULL,laura_morales
12MH,"Aurora, NY",5/25/2012,y,1,6/28/2012 0:00,NULL,NULL,,NULL,2012 Tingting fine-mapping for 8.06,,tingting_ma
12MN,"Clayton, NC",4/19/2012,y,NULL,NULL,NULL,NULL,natural,NULL,Metamaize experiment NC.,"""field B11A, rows 6621-6748.  Incomplete blocks design, to be repeated in Aurora.""",unknown
12MY,"Aurora, NY",5/25/2012,y,NULL,NULL,NULL,NULL,natural,10/25/2012 0:00,Metamaize experiment NY.,""" Incomplete blocks design, to be repeated in Clayton, rows 1-45 harvested on 18Oct2012""",unknown
12SH,"Aurora, NY",5/25/2012,n,NULL,6/28/2012 0:00,NULL,NULL,StNY001,NULL,Ht differentials,NULL,unknown
12TH,"Aurora, NY",5/25/2012,y,1,NULL,NULL,NULL,StNY0001,NULL,2012 Tiffany fine-mapping for 8.06,NULL,tiffany_jamann
12TN,"Aurora, NY",5/25/2012,y,NULL,6/28/2012 0:00,NULL,NULL,StNY001,NULL,NLB Fine Mapping Trials,NULL,unknown
12TP,"Aurora, NY",5/25/2012,y,NULL,6/28/2012 0:00,NULL,NULL,NULL,NULL,Pan Mutant NLB Trial,NULL,unknown
12TR,"Aurora, NY",5/24/2012,y,NULL,7/23/2012 0:00,NULL,NULL,GH07 and AUR07 IL14HxB73 RIL,NULL,Rust Fine Mapping Trials,26000spore/ml,unknown
12TS,"Aurora, NY",5/24/2012,y,NULL,7/9/2012 0:00,7/15/2012 0:00,NULL,PsNY003,NULL,Stewart's wilt Fine Mapping Trials,NULL,unknown
12TT,"Aurora, NY",5/25/2012,y,NULL,6/28/2012 0:00,NULL,NULL,NULL,NULL,NLB Teosinte Introgression Trials,NULL,unknown
13GS,"Ithaca, NY",4/5/2013,n,223,NULL,NULL,NULL,Stx,NULL,Trial for linkage mapping of avrHt1,NULL,unknown
13JT,"Aurora,NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
13LN,"""Clayton, NC""",4/25/2013,n,1,7/20/2013 0:00,NULL,NULL,F. verticillioides,9/16/2013 0:00,2013 Laura NAM ear rot and fumonisin,NULL,laura_morales
13LW,"""Clayton, NC""",4/19/2013,n,1,7/18/2013 0:00,NULL,NULL,F. verticillioides,9/16/2013 0:00,2013 Laura UW BiomAP ear rot and fumonisin,NULL,laura_morales
13MN,"Clayton, NC",4/25/2013,y,NULL,NULL,NULL,NULL,NULL,NULL,Metamaize experiment NC,NULL,unknown
13MY,"Aurora, NY",5/16/2013,y,NULL,NULL,NULL,NULL,NULL,NULL,Metamaize experiment NY,NULL,unknown
13TE,"Aurora, NY",5/17/2013,y,1,NULL,NULL,NULL,StNY001,NULL,2013 expression,NULL,unknown
13TM,"Aurora, NY",5/17/2013,y,1,NULL,NULL,NULL,StNY001,NULL,2013 NLB Mu Mutant Pop,NULL,unknown
13TN,"Aurora, NY",5/17/2013,y,1,NULL,NULL,NULL,StNY001,NULL,2013 NLB Fine mapping,NULL,unknown
13TP,"Aurora, NY",5/17/2013,n,1,NULL,NULL,NULL,StNY001,NULL,2013 NLB Pan mutants,NULL,unknown
13TR,"Aurora, NY",5/16/2013,n,1,NULL,NULL,NULL,07rust,NULL,2013 rust- pan mutants,,unknown
13TS,"Aurora, NY",5/16/2013,n,1,NULL,NULL,NULL,PsNY003,NULL,2013 Stewart's wilt- mutants,NULL,unknown
14TN,"Aurora,NY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,unknown
